# date:Sat Dec 04 10:46:34 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:150.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:2.5
# offspringRate [%]:2.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
170,1.9069527375381768E8,7,1.4592082871100228E7,367,2.8464127378558393E9
175,1.919067400956322E8,7,1.4680960342097843E7,371,2.8467841603065705E9
171,1.8796135190115744E8,7,1.4836645056697017E7,365,2.8424817691039767E9
172,1.834060570623505E8,7,1.492806680164464E7,369,2.8228878918335752E9
169,1.8386210531140724E8,5,1.0602283192218045E7,364,2.802926103714284E9
174,1.8590191304729027E8,5,1.0708752789711501E7,363,2.7780384874116936E9
177,1.874958364195119E8,4,8651825.334326956,359,2.751906953348398E9
178,1.860800500235208E8,4,8716823.151027545,363,2.728269331686788E9
176,1.870596081812809E8,4,8801937.262315692,361,2.7599484359296317E9
175,1.8846983253326255E8,4,8855981.000150518,358,2.758593216230227E9
176,1.8853902798307338E8,4,8903849.441611039,362,2.7666526521984434E9
181,1.9050013722459304E8,4,8976077.361944137,360,2.7323197055792294E9
183,1.8898372339997143E8,4,9037109.09597096,362,2.733216076744504E9
183,1.884494293194389E8,4,9117068.034844566,364,2.639863484992315E9
182,1.9027755583405146E8,4,9202817.474756647,360,2.6387320960659766E9
182,1.925471322724691E8,4,9291709.183029626,354,2.613096198572154E9
180,1.9477091950605658E8,4,9383106.553320909,345,2.585420128108302E9
179,1.952651536954002E8,3,6246361.05357563,342,2.599071607938375E9
183,1.965037017694279E8,3,6294892.427674212,342,2.594987845426381E9
183,1.9817046972193483E8,3,6354567.716668047,340,2.59529803736896E9
181,1.964591069178436E8,3,6408581.654972592,332,2.584752200822034E9
184,1.9449027213560358E8,3,6474967.150045635,330,2.5801173650596404E9
184,1.969928452623687E8,3,6567849.348962736,336,2.5508840012069354E9
184,1.9410265547874084E8,3,6630158.406656877,340,2.5546671131019597E9
186,1.9273467430519745E8,3,6697102.117619489,344,2.5571714236887007E9
186,1.9019902170000967E8,3,6767880.401370066,350,2.574976708327741E9
182,1.8497639661722717E8,2,4055818.568718328,345,2.5715979278003206E9
185,1.8371128270909613E8,2,4101712.277713538,347,2.5549418235372596E9
182,1.828147313295191E8,0,0.0,344,2.556948359397017E9
181,1.8136765583504733E8,0,0.0,342,2.570864476309828E9
178,1.7970654783105513E8,0,0.0,338,2.5654691884969044E9
176,1.8141518796405226E8,0,0.0,344,2.542965987438086E9
174,1.8194652349335417E8,0,0.0,341,2.514475144726172E9
174,1.8420554196414962E8,0,0.0,337,2.525708682247105E9
170,1.8402376986782852E8,0,0.0,331,2.5073873035649977E9
171,1.808474912916662E8,0,0.0,335,2.5046399189448223E9
167,1.7254147323413584E8,0,0.0,330,2.4982718409322314E9
166,1.7414922577051908E8,0,0.0,324,2.4690497726404333E9
168,1.7621651050878993E8,0,0.0,330,2.441894981582754E9
169,1.781817046875966E8,0,0.0,331,2.41588507403544E9
168,1.7908552337267822E8,0,0.0,323,2.3859281315330153E9
164,1.7710627249996907E8,0,0.0,311,2.315233360319281E9
163,1.783528141671079E8,0,0.0,307,2.2982121393678856E9
166,1.805922278297089E8,0,0.0,311,2.305501575902982E9
168,1.81346008630216E8,0,0.0,314,2.30025252749827E9
167,1.8157592711512983E8,0,0.0,310,2.269967812815144E9
164,1.7917992105243078E8,0,0.0,306,2.257844203730193E9
160,1.7750924538052762E8,0,0.0,301,2.246133361322968E9
158,1.7652004354064876E8,0,0.0,297,2.2518386521124415E9
156,1.7849943759276098E8,0,0.0,293,2.2592214562626815E9
153,1.764957582197643E8,0,0.0,289,2.2587398882272553E9
155,1.7434821524546492E8,0,0.0,294,2.2706407756783314E9
152,1.692036119338552E8,0,0.0,293,2.2748743470131907E9
150,1.6621910843032816E8,0,0.0,290,2.26705558692662E9
147,1.6711532195250228E8,0,0.0,289,2.2803919209232507E9
144,1.6841348524330646E8,0,0.0,287,2.2966206809216037E9
147,1.6964905727390453E8,0,0.0,289,2.278838961856517E9
149,1.715513834855816E8,0,0.0,286,2.1894157404303265E9
153,1.7014246229550895E8,0,0.0,284,2.1790041085325284E9
157,1.718754512632327E8,0,0.0,284,2.1924229430592227E9
157,1.7080563248282924E8,0,0.0,290,2.2015075997129655E9
158,1.7199791779402578E8,0,0.0,294,2.194926573836414E9
163,1.713751441900244E8,0,0.0,293,2.1638091439679246E9
161,1.7227769878214604E8,0,0.0,289,2.1462366199277298E9
164,1.7310007092148232E8,0,0.0,288,2.126347739526435E9
164,1.7394386454521948E8,0,0.0,287,2.1059872577052155E9
163,1.7276081241491696E8,0,0.0,286,2.1211383831794152E9
162,1.740121015425378E8,0,0.0,283,2.1321215241588428E9
164,1.721581885679731E8,0,0.0,284,2.1050310389907744E9
163,1.7363667994662243E8,0,0.0,281,2.0637211870150352E9
163,1.754935553628865E8,0,0.0,286,2.0376332402447603E9
161,1.773315825507573E8,0,0.0,281,2.0116244391020818E9
164,1.7357506008595386E8,0,0.0,279,1.9995726097502651E9
163,1.7224895359065133E8,0,0.0,276,2.0042807787180617E9
160,1.6879795198042563E8,0,0.0,273,2.0008192266300347E9
158,1.705559265162403E8,0,0.0,268,1.9998841907989657E9
158,1.7278395859266034E8,0,0.0,264,1.994013098916012E9
153,1.6880666452993497E8,0,0.0,257,1.9554017883440077E9
152,1.7008908065318504E8,0,0.0,253,1.9545344288786283E9
151,1.690002736383804E8,0,0.0,251,1.9357293738810673E9
151,1.705201345427039E8,0,0.0,251,1.9479716285784543E9
153,1.716563247994433E8,0,0.0,250,1.8707838961979136E9
153,1.7326363852575204E8,0,0.0,248,1.8773788890976985E9
149,1.6978608850824124E8,0,0.0,244,1.8635962504136996E9
146,1.672541956976247E8,0,0.0,240,1.8432031257800655E9
145,1.6876375862728077E8,0,0.0,234,1.8475904708809228E9
145,1.6611844300555122E8,0,0.0,235,1.804291584130218E9
143,1.6391455723254234E8,0,0.0,232,1.7844599803683426E9
143,1.642760413645261E8,0,0.0,227,1.742161620311436E9
142,1.6535525396735263E8,0,0.0,225,1.7441054756445758E9
140,1.615168004850002E8,0,0.0,223,1.7113798143316305E9
143,1.6274824285116047E8,0,0.0,224,1.6938820162971423E9
144,1.6384412404646888E8,0,0.0,229,1.678076350089216E9
144,1.658312713162948E8,0,0.0,225,1.66507347937321E9
144,1.6293967116736874E8,0,0.0,228,1.6477726961884568E9
144,1.6394038427641463E8,0,0.0,233,1.660984893173362E9
147,1.6600392927297622E8,0,0.0,235,1.6657047502103348E9
144,1.6554938914483982E8,0,0.0,234,1.6769187542065496E9
142,1.6687240681201342E8,0,0.0,232,1.6882755717301385E9
140,1.6592036116997105E8,0,0.0,231,1.6950468889046133E9
