# date:Sat Dec 04 10:52:09 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:150.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:2.5
# offspringRate [%]:5.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
1028,4.619401526835587E8,0,2.384185791015625E-7,1500,2.8122075976177096E9
1016,4.6236342927217937E8,0,2.384185791015625E-7,1485,2.8218083858311024E9
1010,4.664173503687831E8,0,2.384185791015625E-7,1469,2.828181604767751E9
998,4.689109163729975E8,0,2.384185791015625E-7,1445,2.821611086319986E9
988,4.7241043675074106E8,0,2.384185791015625E-7,1428,2.829031415165162E9
979,4.7729320254423505E8,0,2.384185791015625E-7,1407,2.8305561759949155E9
965,4.77374815879466E8,0,2.384185791015625E-7,1390,2.8406317132939963E9
959,4.807420720602995E8,0,2.384185791015625E-7,1369,2.804299710178038E9
947,4.811644932553147E8,0,2.384185791015625E-7,1351,2.73273012021438E9
938,4.796994981939961E8,0,2.384185791015625E-7,1331,2.7010787218773837E9
966,4.7979026676622975E8,0,2.384185791015625E-7,1389,2.7043640974742427E9
1010,4.8551127039759904E8,0,2.384185791015625E-7,1439,2.72765007821334E9
1046,4.890788696578952E8,0,2.384185791015625E-7,1485,2.7563711196316442E9
1036,4.9651740641383475E8,0,2.384185791015625E-7,1464,2.7893685045550075E9
1026,5.024876574291664E8,0,2.384185791015625E-7,1444,2.7794114882710485E9
1074,5.042638251512065E8,0,2.384185791015625E-7,1488,2.7549504174178467E9
1059,5.083502979266917E8,0,2.384185791015625E-7,1473,2.776090884248279E9
1099,5.065833633646602E8,0,2.384185791015625E-7,1532,2.78970041396216E9
1139,5.1092051782263535E8,0,2.384185791015625E-7,1588,2.81744093095812E9
1132,5.2027944733326143E8,0,2.384185791015625E-7,1568,2.859489946035638E9
1183,5.2324903002941704E8,0,2.384185791015625E-7,1622,2.874976426084202E9
1227,5.2841555937918615E8,0,2.384185791015625E-7,1694,2.911469928795704E9
1211,5.3311789895113176E8,0,2.384185791015625E-7,1663,2.8709544753115144E9
1195,5.383569903650305E8,0,2.384185791015625E-7,1645,2.8909362068818336E9
1175,5.354505544018917E8,0,2.384185791015625E-7,1623,2.8769918717840543E9
1165,5.368907304833645E8,0,2.384185791015625E-7,1605,2.8459525585469E9
1158,5.417775547105134E8,0,2.384185791015625E-7,1590,2.8545590280438967E9
