# date:Sat Dec 04 10:45:06 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (cm^3),Fir (count),Fir volume (cm^3),Beech (count),Beech volume (cm^3)
473,2.5959350782644117E8,3,1799162.0379863072,834,2.551542985830404E9
478,2.5895800245472962E8,3,1890121.2578323907,842,2.5749137435694118E9
483,2.5761764478984407E8,3,1970002.7147301566,851,2.600154391476593E9
479,2.5364874701522195E8,3,2054405.3687633811,836,2.57995732257486E9
475,2.540943574819347E8,3,2146567.890667515,817,2.5858135305855675E9
470,2.560204040077689E8,3,2239763.2803653562,811,2.611764072988829E9
471,2.5694495391839862E8,2,1224997.2134688501,818,2.6048580397777233E9
467,2.5984355361152047E8,1,640280.663563894,806,2.536593491153809E9
466,2.5830321990283832E8,1,673893.6532904244,815,2.53579253986907E9
457,2.6022533982559168E8,1,708835.172116004,804,2.5211337152081037E9
451,2.627353120338841E8,1,742350.1707231039,797,2.517013133469578E9
448,2.6599931575698853E8,1,778403.5511338514,788,2.5409013918587065E9
452,2.665274778099988E8,1,813593.4588253746,791,2.55960073585585E9
449,2.699301978617692E8,1,851065.9929253464,780,2.5529908066215405E9
455,2.723232729201422E8,1,890993.1311366124,786,2.564635066400722E9
447,2.709854022362451E8,1,926772.3114426696,779,2.559517272490725E9
454,2.7398281483880806E8,1,964771.9151227281,788,2.5754514163177238E9
456,2.735366930138442E8,1,998408.1805159173,795,2.5920871924646673E9
464,2.75023181790426E8,1,1032673.0964915773,802,2.609833213280772E9
457,2.7002067162938565E8,1,1067094.765273682,789,2.6020709095159607E9
465,2.7184705151651525E8,1,1105013.8366400776,793,2.6313687715017424E9
463,2.709223304954109E8,1,1138177.5448387153,806,2.624653756658739E9
458,2.7043453285377926E8,1,1168923.7521211035,797,2.638178056586132E9
463,2.704640628614424E8,1,1202570.3966503276,805,2.63461708967337E9
464,2.720362279757995E8,1,1241057.0202544713,812,2.609735573050861E9
473,2.687319323313643E8,1,1271411.1865405454,811,2.5862206240378556E9
474,2.6794557221716166E8,1,1303117.3407357498,822,2.594124092030217E9
481,2.691497141335667E8,1,1337525.7172313118,826,2.5883112138312645E9
476,2.6804991984273386E8,1,1370094.3752609494,819,2.556119517289971E9
480,2.6248695300838915E8,1,1401225.430987974,818,2.5433621509749165E9
475,2.65246480157318E8,1,1433429.0894380223,812,2.5604279144945946E9
481,2.6554352474392208E8,1,1466050.227329038,810,2.506112812906511E9
476,2.6504382828844315E8,1,1500519.0679889603,807,2.532297355173482E9
477,2.6247830824279737E8,1,1535851.60257519,813,2.5446616452325826E9
480,2.612983636410672E8,1,1572297.7751102597,820,2.495122711941215E9
484,2.6261079453837636E8,1,1606289.777382878,830,2.509250610865443E9
492,2.650000436739301E8,1,1635863.2186182176,841,2.501597202449729E9
505,2.6815206369468924E8,1,1667959.2891704957,844,2.525176212525015E9
511,2.626989569762559E8,0,1.632142812013626E-7,835,2.5183003766824775E9
505,2.6009826129343235E8,0,1.632142812013626E-7,826,2.4999752446853223E9
515,2.5773594434292635E8,0,1.632142812013626E-7,827,2.4730543958644342E9
522,2.6168884680600822E8,0,1.632142812013626E-7,833,2.408051071454833E9
528,2.651274381971158E8,0,1.632142812013626E-7,838,2.3295776884500194E9
533,2.6591267499467278E8,0,1.632142812013626E-7,849,2.3246170558623934E9
540,2.6947797437661445E8,0,1.632142812013626E-7,854,2.319577166476828E9
544,2.7147008174412555E8,0,1.632142812013626E-7,863,2.315227269799099E9
548,2.727219364024356E8,0,1.632142812013626E-7,873,2.320164113420307E9
551,2.758668028349587E8,0,1.632142812013626E-7,878,2.331840924595566E9
553,2.792392071006413E8,0,1.632142812013626E-7,887,2.3424041702126307E9
547,2.8209917216348636E8,0,1.632142812013626E-7,873,2.3261065201361113E9
550,2.8248143446692073E8,0,1.632142812013626E-7,875,2.3216598000409575E9
544,2.836411752469216E8,0,1.632142812013626E-7,860,2.341740442629868E9
539,2.8673024013439345E8,0,1.632142812013626E-7,853,2.3681866881721663E9
545,2.9034015091065204E8,0,1.632142812013626E-7,858,2.3808733701181936E9
552,2.9202967734894556E8,0,1.632142812013626E-7,866,2.3523417294668813E9
557,2.97077546642414E8,0,1.632142812013626E-7,878,2.3824460204531174E9
565,3.001519931695242E8,0,1.632142812013626E-7,883,2.4066592476707087E9
569,2.9944148949704534E8,0,1.632142812013626E-7,886,2.404990272850727E9
564,2.999411699627607E8,0,1.632142812013626E-7,878,2.4102531987258005E9
571,3.035553987657301E8,0,1.632142812013626E-7,883,2.3945697991355796E9
579,3.0590322740215373E8,0,1.632142812013626E-7,887,2.356326952894903E9
578,3.0259007717828363E8,0,1.632142812013626E-7,899,2.3627225636675763E9
571,3.063282601306716E8,0,1.632142812013626E-7,888,2.358136999935581E9
569,3.049606858163039E8,0,1.632142812013626E-7,887,2.3539052096973023E9
574,3.092579018114064E8,0,1.632142812013626E-7,894,2.322489503904061E9
572,3.011620327329863E8,0,1.632142812013626E-7,899,2.2424097982373223E9
574,3.016600454501737E8,0,1.632142812013626E-7,908,2.245075253372393E9
570,3.0311478290927607E8,0,1.632142812013626E-7,896,2.2541762894681892E9
574,3.064410876993862E8,0,1.632142812013626E-7,897,2.2593929876481023E9
564,3.026779839091123E8,0,1.632142812013626E-7,891,2.279691860427472E9
555,2.977949917470659E8,0,1.632142812013626E-7,884,2.2904343592653675E9
550,3.014133138196781E8,0,1.632142812013626E-7,876,2.2830464625265064E9
542,3.0386508113139576E8,0,1.632142812013626E-7,861,2.233067524723618E9
536,3.0601439119760543E8,0,1.632142812013626E-7,848,2.2321717638180957E9
535,3.050282799750906E8,0,1.632142812013626E-7,866,2.261540959591593E9
530,3.072587134958225E8,0,1.632142812013626E-7,855,2.2733008841575575E9
533,3.073809981087378E8,0,1.632142812013626E-7,866,2.223535920060295E9
530,3.0991177497846824E8,0,1.632142812013626E-7,856,2.2384426539231853E9
536,3.126164362061537E8,0,1.632142812013626E-7,865,2.2392285568391294E9
540,3.106558859556339E8,0,1.632142812013626E-7,875,2.2383771377367144E9
549,3.124197722463433E8,0,1.632142812013626E-7,884,2.2667714402481623E9
556,3.1700231531537694E8,0,1.632142812013626E-7,889,2.2712615779664164E9
549,3.181821631359622E8,0,1.632142812013626E-7,879,2.2730152380605683E9
543,3.212382064234312E8,0,1.632142812013626E-7,867,2.3062104650866694E9
539,3.266284688759895E8,0,1.632142812013626E-7,859,2.3385858407661295E9
