# date:Wed Nov 24 18:28:30 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:10.0
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
521,3.1284466534184283E8,1,140003.18705684989,1005,3.7968139890054836E9
524,3.150168412191502E8,1,160796.59754167782,1014,3.767606312549624E9
528,3.192789705320673E8,1,183072.03004002417,1024,3.7986123396731634E9
530,3.208930527330317E8,1,206764.37154921328,1034,3.786913740883391E9
523,3.198841028208174E8,1,231806.30374009517,1023,3.792680507732866E9
534,3.212924629748515E8,0,4.1461316868662834E-7,1024,3.7196151394717755E9
539,3.175620659298952E8,0,4.1461316868662834E-7,1035,3.7278260765147843E9
537,3.1930297574629694E8,0,4.1461316868662834E-7,1019,3.718504867481056E9
545,3.246837751220714E8,0,4.1461316868662834E-7,1027,3.7227276510595527E9
545,3.242323648607245E8,0,4.1461316868662834E-7,1035,3.6909395960647855E9
549,3.204968731511738E8,0,4.1461316868662834E-7,1043,3.6755824973469896E9
555,3.2242951098901457E8,0,4.1461316868662834E-7,1047,3.7054392165578914E9
563,3.2544858124766606E8,0,4.1461316868662834E-7,1054,3.7376752449780054E9
565,3.2668962360385424E8,0,4.1461316868662834E-7,1062,3.735998572737083E9
573,3.22720206562573E8,0,4.1461316868662834E-7,1063,3.7826031230765667E9
576,3.224045175588481E8,0,4.1461316868662834E-7,1078,3.835345491253981E9
576,3.2331962767816585E8,0,4.1461316868662834E-7,1091,3.829857903428829E9
581,3.257416325985126E8,0,4.1461316868662834E-7,1099,3.883241452639713E9
594,3.280824729967628E8,0,4.1461316868662834E-7,1106,3.9350403828506274E9
599,3.329071717003277E8,0,4.1461316868662834E-7,1114,3.9581086037118664E9
605,3.3678209813694847E8,0,4.1461316868662834E-7,1118,3.903315299402922E9
608,3.4071656643242157E8,0,4.1461316868662834E-7,1134,3.917212187088825E9
604,3.4241995041717947E8,0,4.1461316868662834E-7,1152,3.875289596415475E9
612,3.4026607296404284E8,0,4.1461316868662834E-7,1160,3.9125916592220817E9
623,3.4255222100922024E8,0,4.1461316868662834E-7,1166,3.9028807249394407E9
636,3.4538874035013086E8,0,4.1461316868662834E-7,1165,3.8942639589734454E9
640,3.481018544898707E8,0,4.1461316868662834E-7,1178,3.9136885366839533E9
643,3.5057025459904957E8,0,4.1461316868662834E-7,1190,3.9110842067685905E9
647,3.536400596809887E8,0,4.1461316868662834E-7,1203,3.9317651063834734E9
655,3.5722469741391104E8,0,4.1461316868662834E-7,1204,3.8544382352003226E9
663,3.5838409401381695E8,0,4.1461316868662834E-7,1213,3.888980195777498E9
662,3.578328195481487E8,0,4.1461316868662834E-7,1221,3.8008511077813044E9
667,3.5991740006727284E8,0,4.1461316868662834E-7,1231,3.8273302774762783E9
677,3.609988995379105E8,0,4.1461316868662834E-7,1237,3.8791726615784297E9
683,3.649106486992332E8,0,4.1461316868662834E-7,1252,3.9085247735690575E9
