# date:Thu Dec 02 19:49:16 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:150.0
# Temp mean [°C]:f(t) = 10 + 0.01*t
# Temp std [°C]:2.5
# offspringRate [%]:3.5
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
227,2.0625832209947884E8,8,1.1490057893454224E7,524,3.9700408938176312E9
233,2.0866958838700214E8,8,1.0808181638502846E7,536,3.9662928649133897E9
239,2.087195775682224E8,8,7817976.893488285,548,3.9362752815571437E9
238,2.0869456656987184E8,8,7992893.322467334,545,3.977746497570711E9
249,2.0929186250187328E8,8,4921018.208934746,550,3.963678890535707E9
248,2.1095642768570313E8,8,5092984.653549587,541,3.954751571445203E9
244,2.1055927385366186E8,7,2013537.0118560481,535,3.962463803378714E9
239,2.1027704212017074E8,6,1549068.929101082,532,3.975084311148178E9
235,2.0961356544973978E8,5,1239917.7912051452,527,4.0083149476288514E9
234,2.1048038525108328E8,5,1365256.0427851726,519,3.961385332679816E9
238,2.1159797228799433E8,5,1457941.3693235877,533,3.9420865396489387E9
244,2.10983519478118E8,5,1598326.3286870637,546,3.9120024130177536E9
240,2.0793554423248467E8,5,1747863.8591111868,540,3.9167115165748467E9
241,2.0783571285384008E8,7,1933353.3469839757,555,3.9147961930672855E9
238,2.0885097177132636E8,7,2111044.3883920684,548,3.8703090838990273E9
236,2.1124789213757667E8,7,2300023.096294042,542,3.870275016047267E9
235,2.1381864459681633E8,6,2465547.739148432,535,3.8049405543211513E9
233,2.1625455811164555E8,6,2666776.021658857,530,3.8085413853849454E9
244,2.1728352139223936E8,6,2877336.806387088,535,3.766663207289323E9
241,2.168205424066935E8,6,3096931.9150905074,532,3.754972224111045E9
248,2.1572517259160545E8,6,3325201.112889098,549,3.794749951207467E9
257,2.1794316875807998E8,5,3089339.03698598,561,3.827813141758574E9
261,2.2035690075598532E8,5,3280831.4086356633,570,3.8088680373373346E9
263,2.1717736619536468E8,5,3469265.941940565,581,3.748384951545071E9
269,2.197993969202296E8,5,3669134.8087119996,596,3.7314528740234375E9
268,2.199465821259449E8,4,3749721.018565666,588,3.6815336037380543E9
265,2.1670999663034955E8,4,3942231.327050024,582,3.6628595142906456E9
259,2.127204900575679E8,4,4137566.6787406276,573,3.6230426966181855E9
271,2.1427030832985798E8,3,3348815.61534705,588,3.6175790055514054E9
268,2.1302935941724232E8,3,3479987.9150258605,577,3.630575128060814E9
280,2.157481800131365E8,2,2602776.7039574026,587,3.6303646594920645E9
279,2.1431887795774955E8,2,2673964.8199901637,603,3.5952897677619123E9
276,2.1637813667088822E8,2,2744891.8530782233,587,3.5437399673755393E9
270,2.180716981647004E8,2,2815521.263604379,579,3.554095860095797E9
283,2.209936941781002E8,2,2885816.6337419734,584,3.505802458615277E9
281,2.2137591418969226E8,2,2955741.7919788985,573,3.4760382422330093E9
291,2.244431634215479E8,2,3025260.9502882916,584,3.5069371296550145E9
297,2.2450365816974816E8,2,3094338.8489254476,604,3.5305585095627933E9
295,2.2736161908803672E8,2,3162940.9043104667,595,3.5506224740148582E9
292,2.2987518534682262E8,2,3231033.3559810007,584,3.557559530233994E9
302,2.3310301727111962E8,2,3298583.409147528,601,3.597311873949548E9
298,2.330759748409873E8,2,3365559.3699361263,593,3.597737887085889E9
293,2.314299453190837E8,2,3431930.7709452095,588,3.633651730190457E9
289,2.3064294855406687E8,2,3497668.48526039,578,3.6014137296720996E9
298,2.310848786563436E8,2,3562744.8275559805,589,3.571843864543539E9
295,2.3374196839136657E8,2,3627133.641355484,581,3.5997874936228833E9
294,2.369376257546582E8,2,3690810.371922283,573,3.6060979332285843E9
297,2.3332628367728263E8,2,3753752.1246029353,587,3.593436332169553E9
307,2.367592903598732E8,2,3815937.7087484263,597,3.5398739325942335E9
316,2.39645008966139E8,2,3877347.6675939765,602,3.514297403923873E9
315,2.4291488056180257E8,2,3937964.2946875338,621,3.5120574720109987E9
313,2.463015760253136E8,2,3997771.6376234954,613,3.515464376931545E9
319,2.4664339082119268E8,3,4070228.274111855,628,3.519688653662352E9
334,2.5040001095982963E8,3,4129639.7805579375,641,3.5157062701931133E9
329,2.5068049993004027E8,2,4172204.5036664107,634,3.529619803036802E9
324,2.5382503117740482E8,1,1139834.055710053,622,3.5169853161855597E9
322,2.553161412333889E8,1,1178062.7033633552,616,3.525042728435218E9
327,2.5878967051486623E8,1,1221653.7293324447,633,3.53542119992389E9
332,2.542891401735037E8,1,1265024.1676107328,648,3.511785391680913E9
340,2.5788146374917582E8,1,1308127.6565621651,661,3.4630502023245482E9
347,2.532427072825552E8,1,1355571.2423627358,675,3.436908757158053E9
359,2.5545552811621502E8,1,1402650.8826221258,690,3.4581054004396443E9
369,2.5918043875660768E8,1,1449315.9272698506,704,3.489267428879503E9
368,2.5849976014085397E8,1,1495520.109761883,724,3.40678551263078E9
366,2.612108230610915E8,1,1541221.4165771473,704,3.297536023173995E9
360,2.5866829590635532E8,1,1586381.938475378,689,3.303392907838153E9
356,2.6057353176408833E8,1,1630967.7072707454,680,3.2566263442412753E9
350,2.6011597991797984E8,1,1674948.5215293257,665,3.218418470558017E9
344,2.5718161661326215E8,1,1718297.7642538124,661,3.2253267546285496E9
337,2.5401693745042413E8,0,0.0,652,3.201301035607333E9
334,2.534686247361168E8,0,0.0,645,3.1991858813186073E9
