Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
667,6.203112519227697E8,173,2.1954156897549868E8,1388,1.0713905286245071E10
671,6.240009736574308E8,176,2.2112438916057545E8,1403,1.0750750882052094E10
677,6.277274663569081E8,175,2.1914433709834328E8,1419,1.0787604611865583E10
684,6.314786525316476E8,176,2.2069441923628652E8,1433,1.0824441560516186E10
684,6.351766496242232E8,176,2.2223172953376415E8,1433,1.0861130252175844E10
690,6.389551612069732E8,175,2.2018212941651168E8,1450,1.0897979830678768E10
697,6.427628807977259E8,175,2.2171865444078532E8,1466,1.0934855087636892E10
703,6.465789035895325E8,175,2.2325380797055715E8,1482,1.0940905972877184E10
709,6.504115752649062E8,174,2.2120067145203006E8,1499,1.0977868719521318E10
715,6.542754125670398E8,175,2.1916793995751637E8,1515,1.101490009277596E10
719,6.58130651501792E8,177,2.1367374588252252E8,1530,1.1021015823853016E10
725,6.620252042790672E8,178,2.152299898510928E8,1547,1.105811491175758E10
727,6.658963794472672E8,183,2.1684747898049876E8,1563,1.1095468466491753E10
735,6.698484203444932E8,184,2.1841458352779186E8,1578,1.1132879916573444E10
741,6.737965730683674E8,183,2.1279874994067878E8,1595,1.1139464524863745E10
750,6.777938239254746E8,185,2.1438544621832943E8,1609,1.1177011055708542E10
752,6.782776234965308E8,187,2.159876868956013E8,1629,1.1214926046777515E10
758,6.752403730775265E8,188,2.14120287819336E8,1644,1.125278962827192E10
765,6.792677818755894E8,190,2.1572687553955486E8,1661,1.1290745401879417E10
777,6.833812713364593E8,192,2.1734091816115546E8,1671,1.1266777521909628E10
775,6.840230496615835E8,192,2.1892821731016704E8,1670,1.1273750776444494E10
781,6.845459798185021E8,196,2.2057102892160875E8,1684,1.1281342570066061E10
787,6.854860244706426E8,200,2.2223012966408244E8,1699,1.1320146560760843E10
791,6.86365315371562E8,201,2.202876704699216E8,1719,1.1359372361166721E10
801,6.905585272040066E8,200,2.1488809170650625E8,1735,1.1398630208292921E10
810,6.947661444691557E8,204,2.165821679094857E8,1749,1.1437999537164104E10
817,6.989679202537249E8,205,2.1825354266620064E8,1768,1.1477477048036818E10
824,6.996715410460747E8,208,2.1995708281349707E8,1782,1.1455057979456837E10
833,7.039232938832469E8,208,2.1807136419917983E8,1800,1.1494719890499643E10
845,7.047111402155155E8,209,2.1978925446713448E8,1813,1.1503803921797188E10
851,7.089860434697912E8,211,2.21523703566981E8,1832,1.1513041251317554E10
862,7.133376390958174E8,211,2.2323677755876732E8,1848,1.1491598699737108E10
869,7.176797436114308E8,213,2.2498060544444135E8,1868,1.1532296869429287E10
875,7.220272315135835E8,215,2.26742772139716E8,1888,1.1542590818273706E10
886,7.264391407911761E8,220,2.28554285485043E8,1901,1.155295299363498E10
898,7.308964524533929E8,221,2.2676992909922308E8,1916,1.1563610987633408E10
907,7.321300362439728E8,222,2.285615099354892E8,1935,1.1605535454819569E10
914,7.365878303752483E8,226,2.268336936117114E8,1951,1.1585737484839651E10
914,7.409822307077608E8,226,2.2863383993440783E8,1949,1.1565831756616701E10
920,7.454480715282446E8,228,2.304766276526766E8,1967,1.1484451891739893E10
929,7.499893119785112E8,229,2.32315245761722E8,1987,1.1496331019326328E10
938,7.474616162960951E8,229,2.3075918857363978E8,2006,1.154008785845398E10
943,7.41419185373801E8,230,2.3265190161470693E8,2028,1.1584760402132845E10
942,7.424088239494083E8,230,2.3455101475310454E8,2024,1.1505222702831377E10
949,7.470283828558328E8,230,2.3293109685456493E8,2047,1.1519127267015285E10
953,7.480960893496865E8,232,2.3487676769227576E8,2071,1.153379247055391E10
961,7.456943351635524E8,236,2.368589668814099E8,2087,1.1517640849299131E10
968,7.468117953267442E8,237,2.388083670566771E8,2111,1.1563716909838863E10
976,7.444467072746204E8,237,2.4074905590110373E8,2131,1.1517161872641253E10
989,7.492761681327446E8,239,2.4271934036666498E8,2146,1.147080603525192E10
998,7.508386556979945E8,240,2.4113004674303517E8,2163,1.1363065579517073E10
1006,7.557447233510472E8,240,2.430912627357614E8,2185,1.1287058758361012E10
1010,7.606644444900866E8,245,2.4512454965468833E8,2207,1.130532715025368E10
1024,7.657231182926213E8,247,2.4712430889374554E8,2223,1.129384257416717E10
1038,7.7080063451181E8,249,2.4913252585457686E8,2239,1.1251752099705828E10
1054,7.759191094835017E8,252,2.511547158276896E8,2253,1.1241060427399878E10
1062,7.775893769471089E8,254,2.5318440924179626E8,2276,1.1262194642892181E10
1066,7.793955210805384E8,257,2.5419540131815666E8,2302,1.1283765589320774E10
