Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
228,3.7041957504098225E8,45,1.2377118339090452E8,442,6.330599003689301E9
228,3.718865239092876E8,45,1.2408005471652435E8,442,6.362828083703403E9
227,3.6907733707549274E8,45,1.2408590107351123E8,440,6.340707107807001E9
226,3.669214681717015E8,44,1.2211972432720992E8,438,6.305143585551397E9
226,3.669488268900416E8,44,1.2212543255516496E8,438,6.305744328291238E9
226,3.69705859445583E8,44,1.2269317758101638E8,438,6.365907385561018E9
226,3.697332886135738E8,44,1.226987794415347E8,438,6.366505251880762E9
223,3.619201530786331E8,44,1.227043656681566E8,437,6.343612931881212E9
223,3.6194717759525794E8,44,1.2270995071376127E8,434,6.282804023685912E9
223,3.64651094316687E8,43,1.1968903962498255E8,434,6.341735549099004E9
223,3.6739063380680543E8,43,1.202417047112737E8,434,6.400316759870045E9
223,3.7006849358466333E8,43,1.2077720716139606E8,434,6.457684346538018E9
223,3.700954143415611E8,43,1.207825477555497E8,434,6.458261534625896E9
224,3.727911214576617E8,44,1.2132557327588731E8,439,6.515930393354112E9
224,3.754611361509375E8,44,1.2184602477761586E8,439,6.573122279037997E9
224,3.781077695408346E8,44,1.2235525824308722E8,439,6.629883673376386E9
224,3.807303372474077E8,44,1.2285352799192584E8,439,6.684610701058654E9
224,3.8150479731415766E8,44,1.2299934322182612E8,439,6.701236867659323E9
223,3.809894968404186E8,44,1.2348303985916032E8,439,6.756840526642228E9
223,3.81015157306078E8,44,1.234878097219251E8,439,6.7573928752698E9
223,3.83575897610806E8,44,1.2396075336946541E8,439,6.812501660913507E9
223,3.86120242223653E8,44,1.24423827907963E8,439,6.867156118416543E9
223,3.8864227871948445E8,44,1.248770624623871E8,439,6.921299079536133E9
223,3.886672740101592E8,44,1.2488152577297032E8,439,6.921836314344927E9
222,3.8700650259457994E8,44,1.2488597827106012E8,438,6.893164745021753E9
222,3.8703136221803385E8,44,1.2489042982656327E8,438,6.893700988727232E9
222,3.895157982428702E8,43,1.2176060975889638E8,436,6.901581302518107E9
221,3.8918926096402824E8,43,1.2176498460918733E8,436,6.902110702000978E9
221,3.892140069686218E8,43,1.2176938853571907E8,434,6.879388095464858E9
220,3.8621963243880814E8,43,1.2177379151659901E8,434,6.879919101362818E9
220,3.87756088782009E8,43,1.2204682331914103E8,434,6.91294204286042E9
220,3.902164363862577E8,43,1.2247903400994404E8,434,6.965667337250277E9
220,3.926554459287167E8,43,1.2290241593265857E8,434,7.017896987442493E9
220,3.9267958944656855E8,43,1.2290658641116954E8,431,6.988435278146015E9
219,3.9072478113867897E8,43,1.2291074746351294E8,430,6.969391738944096E9
219,3.9074888550759727E8,42,1.2018088580184382E8,428,6.956093721558361E9
217,3.850838927677115E8,41,1.1778997771869616E8,428,6.95660656487011E9
215,3.837449339504985E8,41,1.1779391522479615E8,428,6.95711935786806E9
215,3.861207533868536E8,41,1.1818506386775345E8,428,7.008288371763044E9
215,3.884810415803413E8,41,1.1856867028538881E8,428,7.058976521489952E9
215,3.9082019599296033E8,41,1.1894421612462072E8,428,7.109253356320449E9
215,3.9084339623308605E8,41,1.1894791676860233E8,428,7.1097517867251215E9
215,3.931564558930652E8,41,1.1931489527466755E8,428,7.157987725909471E9
215,3.9545353388828945E8,41,1.1967498161243346E8,428,7.207203816042159E9
215,3.954763190987641E8,41,1.1967853119233018E8,428,7.20769202851788E9
215,3.9774785897497475E8,41,1.2002996101153894E8,428,7.256353152773693E9
215,3.9777043599407256E8,41,1.2003343173737693E8,428,7.256836088276205E9
215,3.9933827363000923E8,41,1.2027361889303048E8,428,7.290380648092318E9
215,4.015778115068601E8,41,1.2061343963205916E8,427,7.335747562413355E9
216,4.016111003630101E8,41,1.2061679240455487E8,432,7.336272300204755E9
216,4.0382703726859105E8,41,1.2094938167301829E8,432,7.383491059181305E9
216,4.038490540241258E8,41,1.2095266743250746E8,432,7.38395998223508E9
217,4.058662175759582E8,41,1.2125074317239885E8,437,7.426725930567973E9
217,4.080477364124538E8,41,1.2157260976393063E8,437,7.473114608928321E9
217,4.080693753603975E8,41,1.2157578532191902E8,437,7.473574168827261E9
217,4.1022519449707997E8,41,1.2189083934582236E8,437,7.519361749220947E9
217,4.117679981307511E8,41,1.221142189431252E8,437,7.552104428988948E9
217,4.138925104957257E8,41,1.2241926761571597E8,437,7.597097285999781E9
219,4.160208817100716E8,41,1.2271865978512366E8,442,7.641628628030415E9
219,4.181094932818059E8,41,1.2301243109051034E8,442,7.685597148385336E9
218,4.149193917268469E8,41,1.230153311984589E8,440,7.642745976191671E9
218,4.149400310169372E8,41,1.2301822652636427E8,440,7.643179653240352E9
218,4.1700943540732026E8,41,1.2330601759267186E8,440,7.686499205225181E9
218,4.190638269316474E8,40,1.2003413116612735E8,440,7.729333414892717E9
218,4.2109951768344885E8,40,1.2031094163741224E8,440,7.77165978231446E9
218,4.231222759439728E8,40,1.2058325921545687E8,439,7.784221598662563E9
216,4.1812004293428457E8,40,1.2058594930876681E8,437,7.757817144742823E9
216,4.181402631831977E8,40,1.2058863530027924E8,437,7.7582322081038E9
218,4.1928648857463825E8,40,1.2073668975388493E8,441,7.781210580514808E9
218,4.213117911372788E8,40,1.2100137110944983E8,441,7.8223690569716E9
217,4.201589150736055E8,40,1.2126163108494398E8,441,7.863116757555834E9
216,4.1706336038875425E8,39,1.1791496133581161E8,441,7.863520750817527E9
216,4.170832135912668E8,39,1.1791750121555941E8,441,7.863924473397138E9
216,4.186388277846549E8,39,1.1811570855577755E8,441,7.895474967785531E9
216,4.2061167449719566E8,39,1.1836517660341702E8,441,7.935327787154056E9
216,4.206312623431117E8,39,1.1836763299570832E8,448,7.935793931208597E9
216,4.225836522903992E8,39,1.1861166554991333E8,448,7.975153820131268E9
216,4.238617069945056E8,39,1.1877031713557383E8,446,7.975675785037133E9
216,4.238809928696019E8,39,1.187727055549215E8,445,7.946434947812163E9
216,4.2390033257080406E8,39,1.1877509182884036E8,445,7.946819990928761E9
216,4.2583128341835326E8,38,1.1542895555985342E8,445,7.985608534992537E9
216,4.258504830920302E8,36,1.0832652587746935E8,445,7.985993309181309E9
216,4.258696979241124E8,36,1.0832884201133364E8,445,7.986377830944346E9
216,4.277917461498714E8,36,1.0855991037150155E8,445,8.024688749009085E9
216,4.296997832207478E8,36,1.08787586560287E8,445,8.062548045850939E9
216,4.297187229725622E8,36,1.0878983868222444E8,444,8.033421309340741E9
215,4.2742453399349266E8,36,1.0879208804010555E8,444,8.033795987387787E9
215,4.27443331839614E8,36,1.0879433704613243E8,440,7.988841595908717E9
215,4.27462141642082E8,36,1.0879658570039958E8,438,7.957599313070841E9
215,4.2748096446825504E8,35,1.0522945597885205E8,437,7.936539064611572E9
214,4.2514551639038205E8,34,1.0171692581958503E8,437,7.94709043674543E9
214,4.259070180309787E8,34,1.018075607321247E8,437,7.961942454540833E9
214,4.277990702992679E8,33,9.847918790957798E7,437,7.9956799457365055E9
214,4.278178736825594E8,33,9.84814566189765E7,436,7.976545018365708E9
216,4.278588068352585E8,34,9.8497195849412E7,439,7.976938652684094E9
216,4.297370146462646E8,33,9.513728164274633E7,439,8.013277243460364E9
216,4.297556907419494E8,33,9.51395406379316E7,439,8.013610232671632E9
213,4.24514156887201E8,33,9.514179731337409E7,439,8.013970517548623E9
211,4.178053907957951E8,32,9.157065260245907E7,439,8.014330758344123E9
210,4.165064012580041E8,31,8.82597070265802E7,439,8.050211636549206E9
209,4.1471404774017346E8,31,8.82866236957681E7,439,8.054557293683212E9
209,4.1473228840536815E8,30,8.48370987423931E7,439,8.054912569992687E9
209,4.1496788833394164E8,30,8.486500798158775E7,438,8.0291183280943985E9
209,4.1498615414546025E8,30,8.486716654154968E7,438,8.029472827866213E9
208,4.137290170657952E8,30,8.508229908261396E7,438,8.06477854384916E9
208,4.149545612435121E8,29,8.165962178273395E7,437,8.077042349358403E9
208,4.149726538247438E8,29,8.166173005161442E7,437,8.077388859603031E9
208,4.155705532913932E8,29,8.17311059998355E7,437,8.088793545583715E9
208,4.1625238874527663E8,29,8.181012388989504E7,437,8.10177883971546E9
208,4.180539216217069E8,29,8.201851751391993E7,437,8.135993826710354E9
207,4.190847629268446E8,29,8.222461589826882E7,436,8.169478044490418E9
207,4.191023672125434E8,29,8.222665929197165E7,436,8.16981330704824E9
205,4.1350436944749874E8,29,8.230999991896448E7,436,8.183484280940709E9
205,4.135217651204093E8,29,8.231203273194636E7,436,8.183817741687302E9
204,4.132869735206572E8,29,8.251465965564309E7,436,8.217024839073173E9
204,4.13304167231249E8,29,8.251667043112107E7,436,8.217354310129456E9
205,4.150279861579527E8,29,8.271702578995302E7,441,8.250203319902172E9
204,4.1355888953307045E8,29,8.291532473228267E7,441,8.282618760774032E9
204,4.135757295832104E8,29,8.291729147888947E7,441,8.282940389646069E9
204,4.15254190072517E8,28,7.952651588614419E7,441,8.314953903446526E9
204,4.160690128716024E8,28,7.962114594912131E7,440,8.326557028601132E9
204,4.160856873058031E8,28,7.962307460398343E7,440,8.326872432894967E9
204,4.177489356924624E8,28,7.981536752082202E7,440,8.358273537520656E9
203,4.1615557378039044E8,28,7.981727644549005E7,438,8.321365587329297E9
203,4.1617205002344257E8,28,7.981918389403361E7,438,8.3216750495558605E9
201,4.118499965274311E8,28,7.982109114292914E7,438,8.321984473791042E9
201,4.1347674842430073E8,28,8.001131495168468E7,438,8.352796148948659E9
201,4.1443244219317055E8,27,7.657608012977138E7,438,8.370812860691959E9
