# date:Sat Dec 04 10:41:23 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:10.0
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
201,1.716672537392057E8,24,2.526470289475711E7,565,3.350255159414608E9
203,1.7312983441991E8,23,2.5633671171439026E7,575,3.356438190425054E9
201,1.6837590465399387E8,23,2.6037651139218777E7,581,3.377956598003373E9
201,1.7001272938475406E8,22,2.4408097246126972E7,590,3.3317098161292677E9
202,1.7027078865232086E8,22,2.472736956013148E7,594,3.285844618625306E9
207,1.7210918164933974E8,21,2.249192710086642E7,598,3.2809568620583463E9
208,1.7386194527038154E8,21,2.2812074027153235E7,605,3.2758047159578595E9
209,1.7092448571256545E8,20,1.9666934902406886E7,605,3.2156289297584143E9
209,1.674781761926932E8,19,1.9968006620058414E7,608,3.2357331502376175E9
213,1.6937499650971034E8,18,1.6827877255632896E7,611,3.238929847062037E9
216,1.694333936740829E8,17,1.696063197071325E7,612,3.1790608047361794E9
218,1.675517718641733E8,17,1.731389930313133E7,614,3.1890617400959964E9
220,1.6768863357090306E8,17,1.7723341988098588E7,617,3.1566133883690267E9
220,1.658687973919189E8,16,1.5699917440178156E7,623,3.150356797672249E9
225,1.6782003079141435E8,14,1.5568392165767629E7,629,3.136311758168401E9
224,1.6516727183581433E8,14,1.5836502994568827E7,634,3.113711277567852E9
226,1.6629198158217305E8,12,1.3054484116171004E7,642,3.1403261047760944E9
226,1.628799412140848E8,12,1.3302486555035979E7,649,3.145376250625447E9
223,1.619731176753943E8,12,1.3582596117418954E7,643,3.1239379611099567E9
229,1.6331624826569358E8,12,1.3863918435755953E7,643,3.1093169774786825E9
232,1.6490980417333084E8,12,1.0828803416895043E7,641,3.0594359065748796E9
239,1.6673663564216763E8,11,7697903.680494681,642,3.044148832712027E9
242,1.6844416399784133E8,11,6521999.423774437,645,2.9916262650550356E9
243,1.6560402874504912E8,11,6754334.353139481,650,2.980833814135323E9
247,1.6758012434221014E8,11,7005010.978802707,660,2.989019337073497E9
249,1.6732443379508436E8,10,6596404.942906277,666,2.991247749171636E9
247,1.6868231189838752E8,10,6837999.148675496,668,2.9683588462824297E9
248,1.6529392326119095E8,10,7087606.953108359,667,2.903023396922758E9
246,1.6600041128281015E8,9,7142060.880764246,672,2.8845109086545134E9
247,1.6777046542486635E8,9,7367774.223371146,681,2.882994172941511E9
246,1.6718340576307565E8,8,6680870.750335467,686,2.8946399192931485E9
251,1.6603449485847533E8,8,6885796.408613745,690,2.9033079675139227E9
254,1.6246595125318956E8,9,7098634.690977035,697,2.9173450177373037E9
258,1.613474436052177E8,8,6793520.508395165,701,2.8938265199549904E9
258,1.5856918241062438E8,8,5121829.271656406,705,2.854298407314062E9
261,1.6023868602423322E8,7,5293598.585582895,710,2.838312230978972E9
268,1.60079129245785E8,7,5464576.489471532,711,2.840940885198081E9
