# date:Thu Dec 02 19:45:41 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:f(t) = 10 + 0.01*t
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
406,2.6857000668024087E8,0,0.0,722,3.5078741501375303E9
413,2.702386662382948E8,0,0.0,726,3.4866067472879567E9
413,2.6709291237917158E8,0,0.0,733,3.440748469130048E9
417,2.6762183992052546E8,0,0.0,733,3.3643107102845902E9
429,2.692502570986506E8,0,0.0,731,3.3688905144060297E9
428,2.7355467022839063E8,0,0.0,722,3.3800573881081276E9
432,2.7372534553363055E8,0,0.0,724,3.4175758108160033E9
435,2.7073939989901966E8,0,0.0,727,3.38053925497905E9
431,2.6951103390184176E8,0,0.0,717,3.413766764761447E9
435,2.7200823006473297E8,0,0.0,725,3.4504023552367797E9
445,2.746794622042169E8,0,0.0,728,3.438145498456328E9
444,2.7929688376303035E8,0,0.0,719,3.4736030251191897E9
449,2.825289654674731E8,0,0.0,726,3.475294731681367E9
450,2.8677473717661726E8,0,0.0,737,3.509745437656855E9
457,2.901247981960506E8,0,0.0,740,3.4999876386309013E9
459,2.89609845042627E8,0,0.0,749,3.4828889905776057E9
463,2.899328495911559E8,0,0.0,760,3.514722322239307E9
458,2.943348385663165E8,0,0.0,748,3.548098730585656E9
466,2.975550949805467E8,0,0.0,750,3.5530990721462545E9
473,3.024749209583482E8,0,0.0,751,3.519013018489768E9
475,3.069250533393938E8,0,0.0,760,3.496896399281054E9
482,3.1209395943809265E8,0,0.0,768,3.538856355070164E9
475,3.1427589317836154E8,0,0.0,761,3.5281474405809417E9
475,3.127481092849238E8,0,0.0,764,3.5575234391597295E9
475,3.080350711293393E8,0,0.0,769,3.5259671092803817E9
484,3.1327679285969985E8,0,0.0,780,3.546539713205161E9
490,3.151075754959347E8,0,0.0,784,3.5296462506505375E9
496,3.164670884548326E8,0,0.0,790,3.475087210787687E9
488,3.1483147355099016E8,0,0.0,774,3.489334405423729E9
481,3.1170728106094176E8,0,0.0,762,3.456727869258807E9
487,3.167052733376974E8,0,0.0,761,3.431724903159871E9
489,3.2191936475229704E8,0,0.0,766,3.437686683158207E9
500,3.2716747706555766E8,0,0.0,771,3.4019100767055483E9
509,3.3072612531994927E8,0,0.0,775,3.4348253259228373E9
512,3.334842142023057E8,0,0.0,785,3.4383553476006474E9
520,3.3472113004080284E8,0,0.0,791,3.439795770326884E9
524,3.369910331111198E8,0,0.0,798,3.4280480590494447E9
534,3.4045334229233867E8,0,0.0,801,3.4303298248883815E9
537,3.433725861528308E8,0,0.0,809,3.4102937861384783E9
539,3.456791739279086E8,0,0.0,821,3.4405577709095826E9
551,3.513957024189042E8,0,0.0,830,3.4274598828004847E9
547,3.5716576354571414E8,0,0.0,820,3.4185544416799192E9
556,3.620423093420573E8,0,0.0,827,3.4401048047562814E9
561,3.614533010423073E8,0,0.0,827,3.3822758488688297E9
556,3.6422664598644304E8,0,0.0,816,3.3934867900741596E9
557,3.6513904120803577E8,0,0.0,824,3.3797234780034986E9
562,3.6661203827545196E8,0,0.0,827,3.337928200084553E9
570,3.7120626244249165E8,0,0.0,829,3.32361350495213E9
575,3.729957135497927E8,0,0.0,826,3.308784534536374E9
571,3.7752429476593536E8,0,0.0,815,3.2973122482488885E9
582,3.8350885635673165E8,0,0.0,821,3.3331916082102857E9
574,3.8109828186427313E8,0,0.0,814,3.3805872100834002E9
578,3.8216732057533604E8,0,0.0,826,3.41029665560547E9
586,3.8424759079846495E8,0,0.0,828,3.3972780316412835E9
576,3.8504239295187837E8,0,0.0,819,3.396826150603235E9
570,3.824919829361643E8,0,0.0,808,3.4091778737741346E9
572,3.8243533039246196E8,0,0.0,816,3.4224300025924544E9
580,3.8262773511957306E8,0,0.0,823,3.459475548815109E9
573,3.8323409841782737E8,0,0.0,810,3.4438111389340315E9
566,3.8235820236751324E8,0,0.0,797,3.4690082279578547E9
574,3.8808972368661714E8,0,0.0,807,3.50320981666224E9
567,3.928688117736395E8,0,0.0,793,3.5145958923022943E9
573,3.9939792955780613E8,0,0.0,805,3.5180353008292704E9
567,4.02018115877558E8,0,0.0,800,3.548615519387639E9
560,4.0405170446243346E8,0,0.0,791,3.518269340544941E9
562,4.058787953288788E8,0,0.0,803,3.5608940906483893E9
554,4.0503829368180734E8,0,0.0,788,3.53724065719121E9
561,4.033106170792224E8,0,0.0,791,3.526849971864686E9
554,4.0595948674400467E8,0,0.0,778,3.439763307355918E9
565,4.093901143728872E8,0,0.0,788,3.461145466906709E9
570,4.084930981322014E8,0,0.0,798,3.4821070579424276E9
561,4.044658596253149E8,0,0.0,787,3.4915576300945935E9
566,4.101257893382383E8,0,0.0,789,3.5339215597732587E9
573,4.1597104985205555E8,0,0.0,792,3.485992949171217E9
